Catch_type,Catch_source,Number_records,Positive_records,Zero_records,Catch_t,First_year,Last_year,Number_flags
C,Estimated,114,114,0,3278.527,1962,2005,8
C,Reported,998,970,28,307044.7426,1950,2007,31
DD,Estimated,82,77,5,609.49163,1987,2023,8
DD,Reported,2934,1731,1203,22776.369649,1987,2023,38
L,Estimated,874,868,6,87219.91074,1950,2023,38
L,Reported,9674,6711,2963,1533042.68062899,1950,2023,64
